omega,true_delta,estimated_delta
0.9372583030784365,-0.651626342712791,-0.5765534440842296
0.9614231447262961,-0.6672550426159275,-0.19050448570541256
0.9862110158740798,-0.6811445554919355,-0.57328990122178
1.0116379797662076,-0.6931747107862936,-0.869234837030769
1.0377205137973473,-0.7032397743356777,-1.1491627146692756
1.0644755201902325,-0.7112499224244395,-0.4446488538171287
1.091920336948786,-0.7171325178204344,-0.8418473247258589
1.1200727490936346,-0.7208331643071977,-0.3840906426582824
1.1489510001873091,-0.7223165196791728,-1.1987434490084588
1.1785738041565936,-0.7215668510464988,-0.9237308562707571
1.2089603574196772,-0.7185883205500292,-0.9462423352825178
1.2401303513259803,-0.7134049941515401,-0.9703432317096403
1.2721039849167077,-0.7060605709656592,-0.7665133459475216
1.3049019780144029,-0.6966178355572232,-0.5385509277941694
1.3385455846499772,-0.6851578406504643,-0.9795931420421665
1.3730566068359316,-0.6717788326866801,-0.8209978820336193
1.4084574086946706,-0.6565949375204594,-0.4623148491462705
1.4447709309510999,-0.6397346281518138,-0.5338062794996304
1.4820207057988586,-0.6213390006415809,-0.33257213453460865
1.5202308721498545,-0.6015598881394948,-0.5347882632097287
1.559426191276961,-0.5805578461626817,-0.7468374946928626
1.5996320628600262,-0.5585000447995434,-0.1735764744297904
1.6408745414455872,-0.5355581052955517,-1.5996627989271555
1.6831803533309575,-0.5119059194358346,-0.35069351751385425
1.726576913883622,-0.4877174902279777,-0.3542305664967498
1.7710923453071812,-0.463164831584848,-0.4757163777455824
1.8167554948653268,-0.43841596301608166,-0.21528680895494168
1.8635959535757005,-0.41363303279096064,-0.4256502334223101
1.9116440753857027,-0.38897059969644443,-0.6845070147859432
1.9609309968427204,-0.36457409947113384,-0.4387807599904827
2.0114886572714914,-0.340578517363448,-0.3679465973515895
2.0633498194716884,-0.3171072831759508,-0.20895929135718694
2.1165480909491516,-0.2942713997699906,-0.19247262237147023
2.1711179456945042,-0.27216881047859776,0.03768484459225785
2.2270947465232767,-0.25088400537803623,-0.34036963740399995
2.2845147679920155,-0.23048786106409758,-0.3425539262415629
2.3434152199052205,-0.21103770362320384,0.00594359960184121
2.403834271428368,-0.1925775800201165,0.007999271284788723
2.4658110758226037,-0.17513871926174884,0.08914728362256974
2.5293857958171677,-0.15874016153284765,-0.036805700659654494
2.5945996296359914,-0.1433895310981833,-0.023051816470395003
2.6614948376953023,-0.1290839271609694,-0.257750897666961
2.7301147699895933,-0.11581090606178923,-0.4838861985949664
2.800503894183631,-0.10354952817058805,0.037993867284531246
2.872707824428781,-0.09227144351397365,-0.11177774292747222
2.946773350922261,-0.08194199151649728,-0.14877540523488175
3.022748470228525,-0.0725212921247751,-0.05627703425407238
3.1006824163823947,-0.06396530792176658,-0.04440538598367327
3.1806256927941208,-0.05622685951204198,-0.15677714336086912
3.2626301049770148,-0.04925657935230121,-0.2180805048878447
3.346748794118907,-0.043003792202259306,-0.06306814165417068
3.4330362715191263,-0.03741731337413767,0.1491148601232825
3.521548453913393,-0.03244615886983376,0.044620434339296966
3.612342699709432,-0.02804016423256578,0.0760354319560626
3.7054778461568643,-0.02415051143867969,-0.15050309455055477
3.801014247475403,-0.02073016536609834,0.08459309120670466
3.8990138139661115,-0.01773422326540408,-0.2663964428309003
3.9995400521310276,-0.015120182210362598,-0.21285382880195647
4.102658105827195,-0.012848130713518702,-0.11074727659766348
4.208434798481713,-0.010880871568656914,-0.1026343373184716
4.316938676395233,-0.009183983545047514,0.07328716422678544
4.428240053161891,-0.007725829836329912,-0.0632076037437822
4.54241105523453,-0.006477521193264557,-0.1281525248757815
4.659525668664682,-0.005412841481729103,-0.039102385546710194
4.779659787047628,-0.004508143044176738,0.10864357101877437
4.902891260703597,-0.0037422187431271903,-0.09798505008061131
5.029299947127004,-0.0030961569663015,-0.36217591862509024
5.1589677627363635,-0.0025531852091682516,0.0009136683547433799
5.291978735958442,-0.0020985071527336863,0.0059301064595064235
5.428419061681093,-0.0017191374490437838,0.013213298570097454
5.568377157109957,-0.001403737736263455,-0.048433442810858096
