log10_omega,regime,delta
1.8518518518518516,3,-0.05761243131849767
2.0,3,-0.04228781695807207
-2.0,4,-0.03539890256490777
-1.8518518518518519,4,-0.05201418794238617
-1.7037037037037037,4,-0.06989023851627223
-1.5555555555555556,4,-0.08620470602687089
-1.4074074074074074,4,-0.09838122139757424
-1.2592592592592593,4,-0.10449387823926358
-1.1111111111111112,4,-0.10356176686662802
-0.962962962962963,4,-0.09566974238002798
-0.8148148148148149,4,-0.08185204869802198
-0.6666666666666667,4,-0.06367099990790487
-0.5185185185185186,4,-0.042449608250197765
-0.37037037037037046,4,-0.01826810377539919
-0.2222222222222223,4,0.010803777794912275
-0.07407407407407418,4,0.048333252254115625
0.07407407407407397,4,0.09716483897639366
0.22222222222222235,4,0.15545158062692513
0.3703703703703703,4,0.21354430979035116
0.5185185185185182,4,0.2552203712518434
0.6666666666666665,4,0.2645291539328168
0.8148148148148149,4,0.23482506110901646
0.9629629629629628,4,0.1736109147371913
1.1111111111111107,4,0.09927743981566328
1.259259259259259,4,0.03199447011584389
1.4074074074074074,4,-0.014902332098870798
1.5555555555555554,4,-0.0381632483255111
1.7037037037037033,4,-0.042398656842393245
1.8518518518518516,4,-0.0355801377451392
2.0,4,-0.025365239136903348
-2.0,5,-0.052901443744551205
-1.8518518518518519,5,-0.07076621959496582
-1.7037037037037037,5,-0.08693124426170812
-1.5555555555555556,5,-0.09884440180488992
-1.4074074074074074,5,-0.10462476372107071
-1.2592592592592593,5,-0.10335908117623442
-1.1111111111111112,5,-0.0952435456944713
-0.962962962962963,5,-0.08154206570651185
-0.8148148148148149,5,-0.06434633797906028
-0.6666666666666667,5,-0.04611862839637568
-0.5185185185185186,5,-0.028974725493918052
-0.37037037037037046,5,-0.013673756713859002
-0.2222222222222223,5,0.0015372067575375459
-0.07407407407407418,5,0.021589587501637697
0.07407407407407397,5,0.05355553771898408
0.22222222222222235,5,0.10286895460281592
0.3703703703703703,5,0.16764807112469168
0.5185185185185182,5,0.2349027964129075
0.6666666666666665,5,0.2833340899746807
0.8148148148148149,5,0.29350991079071204
0.9629629629629628,5,0.25946105584565626
1.1111111111111107,5,0.1929276916002255
1.259259259259259,5,0.11670857992616832
1.4074074074074074,5,0.05231261709943347
1.5555555555555554,5,0.01079156530158451
1.7037037037037033,5,-0.008530358535615137
1.8518518518518516,5,-0.013375495530170076
2.0,5,-0.012760859003678023
-2.0,6,-0.07163787073401566
-1.8518518518518519,6,-0.08764684159040498
-1.7037037037037037,6,-0.09929098393850759
-1.5555555555555556,6,-0.10473194254481041
-1.4074074074074074,6,-0.10311069865348454
-1.2592592592592593,6,-0.09468312277314517
-1.1111111111111112,6,-0.08077913570650694
-0.962962962962963,6,-0.06359027011920682
-0.8148148148148149,6,-0.04581198686738741
-0.6666666666666667,6,-0.030171753727753037
-0.5185185185185186,6,-0.01884584592013426
-0.37037037037037046,6,-0.012706842770298078
-0.2222222222222223,6,-0.010323152721957857
-0.07407407407407418,6,-0.006855379387260482
0.07407407407407397,6,0.006337526837492655
0.22222222222222235,6,0.03977175906035693
0.3703703703703703,6,0.10033340345472275
0.5185185185185182,6,0.1837517177661685
0.6666666666666665,6,0.27063386801503453
0.8148148148148149,6,0.33212159222552284
0.9629629629629628,6,0.3446591794216279
1.1111111111111107,6,0.3041825513995766
1.259259259259259,6,0.22839438621622038
1.4074074074074074,6,0.14527589360301074
1.5555555555555554,6,0.07737444993866674
1.7037037037037033,6,0.03316058644613895
1.8518518518518516,6,0.008720512523899701
2.0,6,-0.005111523137173335
-2.0,7,-0.08835137834979812
-1.8518518518518519,7,-0.09972183078638762
-1.7037037037037037,7,-0.10482107954068957
-1.5555555555555556,7,-0.10284406529133938
-1.4074074074074074,7,-0.09410291433207647
-1.2592592592592593,7,-0.07997765411687435
-1.1111111111111112,7,-0.06269828156715211
-0.962962962962963,7,-0.044992296048135746
-0.8148148148148149,7,-0.029651670479241735
-0.6666666666666667,7,-0.019079803597369625
-0.5185185185185186,7,-0.014860376983482922
-0.37037037037037046,7,-0.017328138462805197
-0.2222222222222223,7,-0.0250156244843278
-0.07407407407407418,7,-0.03379835882021932
0.07407407407407397,7,-0.03585503568179893
0.22222222222222235,7,-0.019497125165745574
0.3703703703703703,7,0.027964598561986603
0.5185185185185182,7,0.11276925092412904
0.6666666666666665,7,0.22528945089542152
0.8148148148148149,7,0.3366748755981622
0.9629629629629628,7,0.40899412983535655
1.1111111111111107,7,0.41579852306376136
1.259259259259259,7,0.35820695199602487
1.4074074074074074,7,0.26295038272610477
1.5555555555555554,7,0.1643814103991501
1.7037037037037033,7,0.08578568516699789
1.8518518518518516,7,0.03281886096663822
2.0,7,-0.0009536827071561088
-2.0,8,-0.10013678929290186
-1.8518518518518519,8,-0.10489228715935708
-1.7037037037037037,8,-0.10256027997509956
-1.5555555555555556,8,-0.09350894039617935
